_id,CODST,ALT,LAT,LON,DATCLIM,TMED,TMAX,TMIN,R24
1,15020,161.00,47.7355556,26.6455556,2000-01-01T00:00:00,-2.9,-0.8,-5.4,0.5
2,15020,161.00,47.7355556,26.6455556,2000-01-02T00:00:00,-1.2,0.4,-2.1,
3,15020,161.00,47.7355556,26.6455556,2000-01-03T00:00:00,-2.9,0.3,-7.5,0.5
4,15020,161.00,47.7355556,26.6455556,2000-01-04T00:00:00,0.8,4.4,-0.5,
5,15020,161.00,47.7355556,26.6455556,2000-01-05T00:00:00,0.8,2.8,-1.0,1.2
6,15020,161.00,47.7355556,26.6455556,2000-01-06T00:00:00,1.8,2.7,0.8,1.7
7,15020,161.00,47.7355556,26.6455556,2000-01-07T00:00:00,1.4,4.1,-0.4,
8,15020,161.00,47.7355556,26.6455556,2000-01-08T00:00:00,-1.6,0.4,-5.0,
9,15020,161.00,47.7355556,26.6455556,2000-01-09T00:00:00,-5.1,-2.8,-6.0,
10,15020,161.00,47.7355556,26.6455556,2000-01-10T00:00:00,-5.5,-4.2,-7.5,
11,15020,161.00,47.7355556,26.6455556,2000-01-11T00:00:00,-0.8,1.4,-6.4,2.3
12,15020,161.00,47.7355556,26.6455556,2000-01-12T00:00:00,-1.2,0.3,-2.0,0.5
13,15020,161.00,47.7355556,26.6455556,2000-01-13T00:00:00,-4.7,-1.6,-6.0,
14,15020,161.00,47.7355556,26.6455556,2000-01-14T00:00:00,-8.6,-4.8,-12.3,
15,15020,161.00,47.7355556,26.6455556,2000-01-15T00:00:00,-5.9,-2.7,-10.6,
16,15020,161.00,47.7355556,26.6455556,2000-01-16T00:00:00,-2.6,-1.1,-5.0,0.0
17,15020,161.00,47.7355556,26.6455556,2000-01-17T00:00:00,-4.4,0.6,-8.0,0.7
18,15020,161.00,47.7355556,26.6455556,2000-01-18T00:00:00,-0.8,0.2,-1.5,1.2
19,15020,161.00,47.7355556,26.6455556,2000-01-19T00:00:00,-2.1,-0.3,-3.8,1.6
20,15020,161.00,47.7355556,26.6455556,2000-01-20T00:00:00,-4.3,-0.5,-7.1,0.0
21,15020,161.00,47.7355556,26.6455556,2000-01-21T00:00:00,-0.7,3.9,-4.5,1.0
22,15020,161.00,47.7355556,26.6455556,2000-01-22T00:00:00,-8.1,-4.4,-12.2,0.5
23,15020,161.00,47.7355556,26.6455556,2000-01-23T00:00:00,-9.8,-6.6,-13.9,
24,15020,161.00,47.7355556,26.6455556,2000-01-24T00:00:00,-9.7,-8.9,-11.2,3.7
25,15020,161.00,47.7355556,26.6455556,2000-01-25T00:00:00,-12.2,-7.8,-17.4,0.0
26,15020,161.00,47.7355556,26.6455556,2000-01-26T00:00:00,-5.5,-2.2,-12.9,0.0
27,15020,161.00,47.7355556,26.6455556,2000-01-27T00:00:00,0.5,3.4,-3.2,0.1
28,15020,161.00,47.7355556,26.6455556,2000-01-28T00:00:00,1.6,5.4,-0.9,
29,15020,161.00,47.7355556,26.6455556,2000-01-29T00:00:00,1.0,6.0,-2.6,
30,15020,161.00,47.7355556,26.6455556,2000-01-30T00:00:00,3.9,8.2,-0.8,1.5
31,15020,161.00,47.7355556,26.6455556,2000-01-31T00:00:00,3.9,7.3,-0.3,
32,15020,161.00,47.7355556,26.6455556,2000-02-01T00:00:00,5.3,8.5,3.2,
33,15020,161.00,47.7355556,26.6455556,2000-02-02T00:00:00,7.5,11.2,3.4,
34,15020,161.00,47.7355556,26.6455556,2000-02-03T00:00:00,5.3,8.0,2.5,0.6
35,15020,161.00,47.7355556,26.6455556,2000-02-04T00:00:00,0.0,4.7,-2.4,0.2
36,15020,161.00,47.7355556,26.6455556,2000-02-05T00:00:00,3.5,7.4,-3.2,0.2
37,15020,161.00,47.7355556,26.6455556,2000-02-06T00:00:00,6.1,8.5,4.2,2.8
38,15020,161.00,47.7355556,26.6455556,2000-02-07T00:00:00,8.6,15.5,3.8,
39,15020,161.00,47.7355556,26.6455556,2000-02-08T00:00:00,9.0,14.8,2.6,
40,15020,161.00,47.7355556,26.6455556,2000-02-09T00:00:00,8.5,13.1,4.3,
41,15020,161.00,47.7355556,26.6455556,2000-02-10T00:00:00,5.4,11.0,2.7,
42,15020,161.00,47.7355556,26.6455556,2000-02-11T00:00:00,3.1,10.2,-1.2,
43,15020,161.00,47.7355556,26.6455556,2000-02-12T00:00:00,2.5,3.8,-0.8,
44,15020,161.00,47.7355556,26.6455556,2000-02-13T00:00:00,1.8,6.4,-2.0,
45,15020,161.00,47.7355556,26.6455556,2000-02-14T00:00:00,1.4,3.6,-1.0,0.0
46,15020,161.00,47.7355556,26.6455556,2000-02-15T00:00:00,0.3,4.6,-3.5,
47,15020,161.00,47.7355556,26.6455556,2000-02-16T00:00:00,2.1,9.0,-1.8,
48,15020,161.00,47.7355556,26.6455556,2000-02-17T00:00:00,1.7,7.7,-4.0,
49,15020,161.00,47.7355556,26.6455556,2000-02-18T00:00:00,1.1,5.3,-0.4,2.5
50,15020,161.00,47.7355556,26.6455556,2000-02-19T00:00:00,-0.9,4.0,-3.6,3.8
51,15020,161.00,47.7355556,26.6455556,2000-02-20T00:00:00,-1.0,5.2,-6.0,
52,15020,161.00,47.7355556,26.6455556,2000-02-21T00:00:00,0.1,1.8,-1.0,0.0
53,15020,161.00,47.7355556,26.6455556,2000-02-22T00:00:00,-2.0,0.0,-3.7,0.1
