CODST,ALT,LAT,LON,DATCLIM,TMED,TMAX,TMIN,R24
15015,  503.00,47.7769444,23.9405556,2016/01/01 00, -10.0,  -5.7, -13.6,
15015,  503.00,47.7769444,23.9405556,2016/01/02 00, -11.0,  -5.9, -14.4,
15015,  503.00,47.7769444,23.9405556,2016/01/03 00, -12.2,  -5.5, -16.4,
15015,  503.00,47.7769444,23.9405556,2016/01/04 00, -11.0,  -5.3, -16.6,    .0
15015,  503.00,47.7769444,23.9405556,2016/01/05 00,  -5.7,  -4.6,  -8.1,   1.5
15015,  503.00,47.7769444,23.9405556,2016/01/06 00,  -2.1,   2.1,  -7.5,
15015,  503.00,47.7769444,23.9405556,2016/01/07 00,   -.4,   1.9,  -1.1,   1.8
15015,  503.00,47.7769444,23.9405556,2016/01/08 00,  -2.0,   -.7,  -2.5,   1.1
15015,  503.00,47.7769444,23.9405556,2016/01/09 00,   -.4,   2.4,  -3.2,    .0
15015,  503.00,47.7769444,23.9405556,2016/01/10 00,   3.8,   7.7,    .2,  15.5
15015,  503.00,47.7769444,23.9405556,2016/01/11 00,   5.1,   8.2,   1.0,   6.1
15015,  503.00,47.7769444,23.9405556,2016/01/12 00,   5.5,   8.9,   4.3,   7.3
15015,  503.00,47.7769444,23.9405556,2016/01/13 00,   2.8,   4.8,   1.2,   3.1
15015,  503.00,47.7769444,23.9405556,2016/01/14 00,    .0,   3.1,  -3.4,   4.6
15015,  503.00,47.7769444,23.9405556,2016/01/15 00,  -2.0,   2.6,  -6.3,   1.0
15015,  503.00,47.7769444,23.9405556,2016/01/16 00,  -1.8,    .4,  -3.0,   1.1
15015,  503.00,47.7769444,23.9405556,2016/01/17 00,  -6.0,  -2.7,  -7.7,
15015,  503.00,47.7769444,23.9405556,2016/01/18 00,  -7.5,  -4.2, -10.0,
15015,  503.00,47.7769444,23.9405556,2016/01/19 00,  -9.8,  -2.9, -15.2,
15015,  503.00,47.7769444,23.9405556,2016/01/20 00,  -8.6,  -5.3, -11.5,
15015,  503.00,47.7769444,23.9405556,2016/01/21 00,  -7.4,  -4.5,  -8.3,   3.4
15015,  503.00,47.7769444,23.9405556,2016/01/22 00,  -7.3,  -4.6,  -9.0,    .2
15015,  503.00,47.7769444,23.9405556,2016/01/23 00,  -7.2,  -1.3,  -9.5,
15015,  503.00,47.7769444,23.9405556,2016/01/24 00, -10.4,  -5.8, -15.2,    .0
15015,  503.00,47.7769444,23.9405556,2016/01/25 00,  -6.4,  -4.3,  -7.9,    .4
15015,  503.00,47.7769444,23.9405556,2016/01/26 00,  -2.7,   2.9,  -6.3,   2.2
15015,  503.00,47.7769444,23.9405556,2016/01/27 00,   -.8,    .7,  -2.0,    .1
15015,  503.00,47.7769444,23.9405556,2016/01/28 00,   2.1,   6.6,    .0,
15015,  503.00,47.7769444,23.9405556,2016/01/29 00,   2.2,   3.6,   1.4,   5.9
15015,  503.00,47.7769444,23.9405556,2016/01/30 00,   1.0,   3.0,  -1.3,
15015,  503.00,47.7769444,23.9405556,2016/01/31 00,   4.1,   6.9,   1.3,   6.3
15015,  503.00,47.7769444,23.9405556,2016/02/01 00,    .9,   2.6,   -.1,   1.0
15015,  503.00,47.7769444,23.9405556,2016/02/02 00,   5.2,   9.7,   -.1,    .4
15015,  503.00,47.7769444,23.9405556,2016/02/03 00,   6.8,   9.8,   2.5,
15015,  503.00,47.7769444,23.9405556,2016/02/04 00,   1.5,   7.1,  -1.0,  12.2
15015,  503.00,47.7769444,23.9405556,2016/02/05 00,  -1.1,   3.5,  -3.7,    .1
15015,  503.00,47.7769444,23.9405556,2016/02/06 00,  -1.9,   2.0,  -5.5,
15015,  503.00,47.7769444,23.9405556,2016/02/07 00,   1.9,   9.3,  -3.0,
15015,  503.00,47.7769444,23.9405556,2016/02/08 00,   4.7,  11.9,    .1,
15015,  503.00,47.7769444,23.9405556,2016/02/09 00,   6.4,   8.2,   3.4,   3.3
15015,  503.00,47.7769444,23.9405556,2016/02/10 00,   7.4,   9.6,   5.6,   7.3
15015,  503.00,47.7769444,23.9405556,2016/02/11 00,   1.8,   7.5,    .0,   2.1
15015,  503.00,47.7769444,23.9405556,2016/02/12 00,   3.3,   7.2,   1.3,
15015,  503.00,47.7769444,23.9405556,2016/02/13 00,   4.0,  10.2,   -.4,   3.6
15015,  503.00,47.7769444,23.9405556,2016/02/14 00,   4.8,   7.7,   2.4,   4.2
15015,  503.00,47.7769444,23.9405556,2016/02/15 00,  10.6,  15.0,   3.5,   6.4
15015,  503.00,47.7769444,23.9405556,2016/02/16 00,   8.3,  13.3,   6.5,  11.4
15015,  503.00,47.7769444,23.9405556,2016/02/17 00,   9.0,  16.2,   3.9,    .2
15015,  503.00,47.7769444,23.9405556,2016/02/18 00,  10.4,  13.4,   6.4,
15015,  503.00,47.7769444,23.9405556,2016/02/19 00,   8.2,  12.0,   5.2,    .1
15015,  503.00,47.7769444,23.9405556,2016/02/20 00,   2.1,   5.5,    .8,
15015,  503.00,47.7769444,23.9405556,2016/02/21 00,   1.2,   2.5,    .5,   3.3
